idevaluacion;clip;nivel;version;forma;p1;p2;p3;p4;p5;p6;p7;p8;p9;p10;p11;p12;p13;p14;p15;p16;p17;p18;p19;p20;p21;p22;p23;p24;p25;p26;p27;p28;p29;p30;p31;p32;p33;p34;p35;p36;p37;p38;p39;p40;p41;p42;p43;p44;p45;p46;p47;p48;p49;p50;p51;p52;p53;p54;p55;p56;p57;p58;p59;p60;p61;p62;p63;p64;p65;p66;p67;p68;p69;p70;p71;p72;p73;p74;p75;p76;p77;p78;p79;p80;p81;p82;p83;p84;p85;p86;p87;p88
1;68;3;1;2;B;C;C;B;C;A;C;D;A;D;C;C;D;B;A;B;A;A;B;A;B;B;B;A;D;D;A;C;B;B;C;B;C;B;A;C;A;B;A;A;C;C;D;B;C;A;A;A;D;C;D;A;B;B;D;D;D;A;A;B;A;A;B;;;;;;;;;;;;;;;;;;;;;;;;;
1;69;3;1;2;B;B;C;B;C;A;A;D;C;D;D;B;C;A;C;D;A;C;D;A;B;D;C;A;C;B;B;A;A;D;B;D;A;B;D;C;B;C;A;B;A;C;A;D;C;A;A;D;D;B;B;B;B;D;A;C;B;D;C;B;A;D;C;;;;;;;;;;;;;;;;;;;;;;;;;
1;75;3;1;2;C;C;B;A;B;D;C;C;C;B;B;B;B;A;D;B;A;A;A;A;C;B;B;D;C;D;D;B;C;D;C;B;C;A;B;A;A;C;D;D;D;A;D;B;B;C;B;B;A;C;C;C;D;D;A;B;C;B;B;B;B;C;C;;;;;;;;;;;;;;;;;;;;;;;;;
1;82;3;1;1;A;C;C;A;C;B;C;C;B;C;A;B;B;B;B;C;C;C;B;B;C;B;A;D;B;C;A;C;D;B;A;D;B;C;A;C;D;B;D;B;C;B;C;D;C;B;C;D;C;C;A;D;C;D;C;C;C;D;B;D;A;A;A;;;;;;;;;;;;;;;;;;;;;;;;;
1;87;3;1;1;A;A;A;D;A;D;D;B;D;C;A;A;B;A;A;D;B;A;A;A;A;D;D;B;D;A;A;D;A;D;C;B;D;D;D;B;C;D;C;B;B;B;D;D;D;A;D;D;C;D;D;A;C;D;C;D;C;C;B;A;A;B;D;;;;;;;;;;;;;;;;;;;;;;;;;
1;93;3;1;2;B;D;C;C;A;D;C;A;C;D;B;C;C;D;C;B;A;C;A;B;B;D;D;C;C;C;A;B;D;A;A;A;C;A;C;C;A;D;C;D;A;D;C;B;C;D;A;A;D;B;A;A;A;C;C;B;C;C;B;B;B;C;C;;;;;;;;;;;;;;;;;;;;;;;;;
1;99;3;1;2;C;B;B;A;A;B;C;B;A;A;C;C;B;A;D;C;A;A;D;A;D;C;C;B;A;B;A;D;A;D;D;B;A;B;C;A;A;A;A;D;D;A;A;A;A;D;D;A;B;A;B;A;C;A;C;C;A;B;D;A;B;B;B;;;;;;;;;;;;;;;;;;;;;;;;;
1;102;3;1;2;B;A;C;B;C;C;C;C;C;B;D;B;C;C;C;A;C;A;C;C;B;C;A;B;D;C;A;B;D;B;B;C;C;D;C;D;A;B;C;A;C;A;A;D;C;B;A;A;D;B;C;B;A;C;C;B;C;A;B;D;A;C;C;;;;;;;;;;;;;;;;;;;;;;;;;
1;107;3;1;1;C;A;D;B;C;D;D;B;A;A;A;A;C;A;C;D;C;A;B;B;B;A;A;D;A;C;A;B;A;B;C;D;D;D;C;B;B;C;D;C;B;A;A;B;B;A;C;C;A;C;B;B;C;D;A;A;D;C;D;A;D;B;D;;;;;;;;;;;;;;;;;;;;;;;;;
1;110;3;1;1;C;D;B;A;A;A;D;D;A;A;A;C;C;A;A;C;D;C;A;D;B;A;A;D;C;D;A;D;A;D;B;A;A;C;A;B;C;B;B;A;B;A;A;A;D;C;B;A;B;C;A;A;C;D;A;B;B;D;C;D;B;B;D;;;;;;;;;;;;;;;;;;;;;;;;;
